Level2,1561175515024,17.0
Level2,1561175527087,18.0
Level2,1561175529090,18.0
Level2,1561175535128,18.0
Level2,1561175539139,18.0
Level2,1561175543170,18.0
Level2,1561175555249,18.0
Level2,1561175571300,19.0
Level2,1561175573316,18.0
Level2,1561175577340,18.0
Level2,1561175583364,18.0
Level2,1561175621797,17.0
Level2,1561175742969,17.0
Level2,1561175755048,17.0
Level2,1561175761080,17.0
Level2,1561175763099,17.0
Level2,1561175765113,17.0
Level2,1561175767130,17.0
Level2,1561175769145,17.0
Level2,1561175771147,17.0
Level2,1561175779178,18.0
Level2,1561175783209,17.0
Level2,1561175817313,17.0
Level2,1561175907772,17.0
Level2,1561175911789,17.0
Level2,1561175919819,17.0
Level2,1561175921834,17.0
Level2,1561176001178,17.0
Level2,1561176007210,17.0
Level2,1561176009212,17.0
Level2,1561176011226,17.0
Level2,1561176047360,17.0
Level2,1561176053375,17.0
Level2,1561176088931,17.0
Level2,1561176092968,17.0
Level2,1561176096993,17.0
Level2,1561176098994,17.0
Level2,1561176101009,17.0
Level2,1561176143176,20.0
Level2,1561176149205,20.0
Level2,1561176151210,20.0
Level2,1561176153223,20.0
Level2,1561176163271,20.0
Level2,1561176169303,20.0
Level2,1561176171319,20.0
Level2,1561176177338,20.0
Level2,1561176179351,20.0
Level2,1561176187402,20.0
Level2,1561176191453,20.0
Level2,1561176197469,20.0
Level2,1561176272066,20.0
Level2,1561176278153,20.0
Level2,1561176282184,20.0
Level2,1561176323907,17.0
Level2,1561176327939,17.0
Level2,1561176329944,17.0
Level2,1561176348040,17.0
Level2,1561176350055,17.0
Level2,1561176352069,20.0
Level2,1561176354086,20.0
Level2,1561176360104,20.0
Level2,1561176362118,20.0
Level2,1561176364123,20.0
Level2,1561176366135,20.0
Level2,1561176368136,20.0
Level2,1561176374156,20.0
Level2,1561176376166,20.0
Level2,1561176380183,23.0
Level2,1561176386202,23.0
Level2,1561176392232,23.0
Level2,1561176400271,23.0
Level2,1561176402281,23.0
Level2,1561176499290,17.0
Level2,1561176507323,17.0
Level2,1561176511338,17.0
Level2,1561176513340,17.0
Level2,1561176624910,17.0
Level2,1561176645022,17.0
Level2,1561176647037,17.0
Level2,1561176655069,17.0
Level2,1561176657085,17.0
Level2,1561176659087,17.0
Level2,1561176663103,17.0
Level2,1561176711974,17.0
Level2,1561176717995,17.0
Level2,1561176728048,17.0
Level2,1561176730091,17.0
Level2,1561176730098,17.0
Level2,1561176732093,17.0
Level2,1561176742156,20.0
Level2,1561176746166,20.0
Level2,1561176750189,20.0
Level2,1561176752205,20.0
Level2,1561176889599,23.0
Level2,1561176893629,23.0
Level2,1561176897660,23.0
Level2,1561176903712,23.0
Level2,1561176913796,23.0
Level2,1561176919836,23.0
Level2,1561176921851,23.0
Level2,1561176925856,23.0
Level2,1561176951999,23.0
Level2,1561176956016,22.0
Level2,1561176958071,22.0
Level2,1561176960093,22.0
Level2,1561176962109,20.0
Level2,1561177051947,17.0
Level2,1561177061994,17.0
Level2,1561177064011,17.0
Level2,1561177066015,17.0
Level2,1561177072028,20.0
Level2,1561177078060,20.0
Level2,1561177084076,20.0
Level2,1561177098134,20.0
